timestamp,open,high,low,close,volume,hour,day_of_week,month,session_id
2025-10-01 08:00:00+00:00,3889.008,3889.559,3885.145,3887.524,9819.0,10,2,10,1
2025-10-01 09:00:00+00:00,3887.635,3888.449,3878.059,3883.512,10473.0,11,2,10,1
2025-10-01 10:00:00+00:00,3883.596,3891.122,3864.487,3870.377,30039.0,12,2,10,1
2025-10-01 11:00:00+00:00,3870.407,3877.199,3863.693,3872.974,28819.0,13,2,10,2
2025-10-01 12:00:00+00:00,3872.906,3878.806,3856.11,3873.036,33753.0,14,2,10,2
2025-10-01 13:00:00+00:00,3872.989,3876.8,3857.987,3868.483,27901.0,15,2,10,3
2025-10-01 14:00:00+00:00,3868.424,3871.554,3860.745,3870.868,11632.0,16,2,10,3
2025-10-01 15:00:00+00:00,3870.861,3871.894,3860.648,3860.847,9252.0,17,2,10,0
2025-10-01 16:00:00+00:00,3860.842,3866.319,3854.896,3862.117,14304.0,18,2,10,0
2025-10-01 17:00:00+00:00,3862.158,3871.045,3861.305,3867.708,9582.0,19,2,10,0
2025-10-01 18:00:00+00:00,3867.731,3867.883,3860.298,3864.616,6156.0,20,2,10,0
2025-10-01 20:00:00+00:00,3867.707,3867.766,3858.612,3862.103,5782.0,22,2,10,0
2025-10-01 21:00:00+00:00,3862.082,3866.617,3857.474,3863.518,8227.0,23,2,10,0
2025-10-01 22:00:00+00:00,3863.475,3863.806,3855.935,3856.078,10564.0,0,3,10,0
2025-10-01 23:00:00+00:00,3856.025,3865.165,3852.832,3865.041,10754.0,1,3,10,0
2025-10-02 00:00:00+00:00,3865.08,3870.021,3861.58,3866.197,9037.0,2,3,10,0
2025-10-02 01:00:00+00:00,3866.157,3869.478,3863.911,3866.58,6132.0,3,3,10,0
2025-10-02 02:00:00+00:00,3866.587,3867.669,3861.799,3864.164,4515.0,4,3,10,0
2025-10-02 03:00:00+00:00,3864.237,3871.334,3864.179,3867.739,6710.0,5,3,10,0
2025-10-02 04:00:00+00:00,3867.821,3874.316,3862.059,3864.211,9708.0,6,3,10,0
2025-10-02 05:00:00+00:00,3864.167,3874.822,3861.697,3868.558,14221.0,7,3,10,0
2025-10-02 06:00:00+00:00,3868.463,3878.719,3864.659,3874.634,10415.0,8,3,10,0
2025-10-02 07:00:00+00:00,3874.594,3879.796,3873.352,3879.046,8887.0,9,3,10,0
2025-10-02 08:00:00+00:00,3879.108,3883.784,3875.729,3881.722,8008.0,10,3,10,1
2025-10-02 09:00:00+00:00,3881.769,3886.696,3879.752,3886.313,8645.0,11,3,10,1
2025-10-02 10:00:00+00:00,3886.277,3892.037,3880.076,3884.458,16868.0,12,3,10,1
2025-10-02 11:00:00+00:00,3884.492,3897.154,3873.453,3875.305,27401.0,13,3,10,2
2025-10-02 12:00:00+00:00,3875.289,3876.863,3825.281,3839.936,50998.0,14,3,10,2
2025-10-02 13:00:00+00:00,3839.83,3844.814,3819.32,3828.364,41572.0,15,3,10,3
2025-10-02 14:00:00+00:00,3828.316,3845.354,3827.173,3844.831,23363.0,16,3,10,3
2025-10-02 15:00:00+00:00,3844.856,3847.933,3840.605,3844.287,14685.0,17,3,10,0
2025-10-02 16:00:00+00:00,3844.288,3851.56,3843.404,3850.866,7889.0,18,3,10,0
2025-10-02 17:00:00+00:00,3850.901,3859.08,3850.556,3855.554,9582.0,19,3,10,0
2025-10-02 18:00:00+00:00,3855.603,3859.353,3853.496,3855.423,4691.0,20,3,10,0
